,Player,Pos,Tm,GP,GS,MPG,PPG,RPG,APG,SPG,BPG,TPG,FPG,FG,FGA,3P,3PA,FT,FTA,TS%,PRF
0,A.J. Green,SG,MIL,5,0,4,3.0,0.2,0.2,0.0,0.0,0.0,0.2,6,13,6,12,0,0,58.0,3.2
1,AJ Griffin,SF,ATL,2,0,8,1.7,0.3,0.0,0.0,0.0,0.0,1.0,1,11,1,7,2,2,14.0,1.0
2,Aaron Gordon,PF,DEN,4,4,38,13.5,7.0,3.8,0.8,0.2,2.0,2.0,23,55,3,16,5,10,45.0,21.3
3,Aaron Holiday,PG,HOU,4,0,16,6.2,1.2,2.0,0.8,0.2,0.2,1.8,9,20,5,10,2,2,59.0,8.4
4,Aaron Nesmith,SF,IND,5,1,26,11.2,2.4,1.0,0.8,1.0,0.8,3.8,21,41,6,19,8,14,59.0,11.799999999999997
5,Aaron Wiggins,SG,OKC,3,0,9,4.5,1.2,0.5,0.5,0.0,0.0,0.8,7,11,4,6,0,0,61.0,5.9
6,Admiral Schofield,PF,ORL,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
7,Al Horford,C,BOS,4,3,28,8.0,6.2,3.8,0.5,1.0,1.5,2.2,12,21,8,16,0,0,76.0,15.8
8,Alec Burks,SG,DET,3,0,20,10.7,2.3,2.3,1.0,0.3,1.0,2.3,10,32,8,21,4,4,48.0,13.3
9,Aleksej Pokusevski,PF,OKC,1,0,1,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0.0,0.6
10,Alex Caruso,SG,CHI,4,2,21,9.0,1.8,1.2,1.5,0.8,0.5,2.0,11,20,8,15,6,6,80.0,11.8
11,Alex Len,C,SAC,1,0,9,3.0,6.0,0.0,0.0,2.0,2.0,1.0,1,1,0,0,1,2,80.0,8.0
12,Alperen Şengün,C,HOU,4,4,36,24.8,10.0,5.2,1.2,0.8,4.5,3.2,37,71,2,13,23,32,58.0,34.3
13,Amari Bailey,PG,CHO,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
14,Amir Coffey,SF,LAC,1,0,3,1.5,0.5,0.0,0.0,0.0,0.0,0.2,2,6,0,2,2,2,11.0,1.8
15,Andre Drummond,C,CHI,4,0,12,4.8,5.2,0.0,0.8,0.5,0.8,1.2,7,14,0,1,5,14,48.0,9.3
16,Andre Jackson Jr.,SG,MIL,4,0,3,2.0,0.5,0.5,0.0,0.0,0.2,1.0,4,4,4,4,0,0,100.0,1.7999999999999998
17,Andrew Nembhard,PG,IND,5,0,13,6.0,1.2,2.8,0.6,0.2,0.8,0.6,13,28,1,4,3,5,50.0,9.399999999999999
18,Andrew Wiggins,SF,GSW,4,4,28,16.2,6.5,1.0,0.8,0.2,2.5,3.5,25,54,5,17,10,14,54.0,18.7
19,Anthony Black,PG,ORL,4,4,15,2.2,1.5,0.5,0.2,0.0,1.2,1.5,4,14,0,6,1,3,29.0,1.7000000000000002
20,Anthony Davis,C,LAL,6,6,32,20.3,13.7,3.5,1.2,2.7,2.2,2.0,46,94,0,3,30,36,55.0,37.2
21,Anthony Edwards,SG,MIN,4,4,35,26.0,5.8,3.8,1.8,1.0,3.8,1.5,31,74,10,29,32,40,57.0,33.1
22,Anthony Gill,PF,WAS,2,0,2,2.0,0.8,0.2,0.0,0.2,0.2,0.2,2,3,0,0,4,4,42.0,2.8
23,Armoni Brooks,PG,BRK,1,0,6,0.0,1.3,0.0,0.0,0.0,0.3,0.0,0,5,0,3,0,0,0.0,1.0
24,Ausar Thompson,SF,DET,4,4,28,12.5,9.2,3.5,1.0,1.8,2.5,3.2,23,36,0,3,4,10,62.0,22.3
25,Austin Reaves,SG,LAL,6,0,26,15.7,5.2,5.3,0.8,0.0,2.5,0.3,31,62,13,26,19,21,66.0,24.2
26,Ayo Dosunmu,SG,CHI,3,0,16,4.0,1.0,1.3,0.7,0.0,0.0,1.7,5,17,1,6,1,2,34.0,5.3
27,Bam Adebayo,C,MIA,4,4,35,22.8,9.2,3.5,1.2,0.8,2.2,3.2,37,74,0,1,17,21,55.0,32.099999999999994
28,Ben Sheppard,SG,IND,1,0,1,0.8,0.2,0.2,0.0,0.0,0.0,0.0,2,5,1,4,0,0,8.0,1.2
29,Ben Simmons,PG,BRK,1,1,16,4.0,4.5,3.0,0.5,0.0,2.0,1.5,4,8,0,0,0,0,25.0,8.5
30,Bennedict Mathurin,SF,IND,6,2,23,12.0,3.0,1.5,0.3,0.2,1.2,2.0,26,63,10,21,10,14,52.0,13.8
31,Bilal Coulibaly,SF,WAS,3,0,25,8.3,2.7,2.7,0.0,0.3,1.7,1.0,8,16,3,9,6,9,62.0,11.3
32,Bismack Biyombo,C,MEM,3,3,17,4.2,5.4,1.0,0.2,0.6,0.2,2.0,8,20,0,0,5,6,28.0,9.200000000000001
33,Blake Wesley,SG,SAS,1,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0,0,0,0,0,0,0.0,-0.5
34,Boban Marjanović,C,HOU,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
35,Bobby Portis,PF,MIL,6,0,22,7.0,4.5,0.7,0.5,0.7,0.8,2.2,19,49,2,12,2,2,42.0,10.399999999999999
36,Bogdan Bogdanović,SG,ATL,4,1,28,18.5,3.2,1.8,1.2,0.2,1.8,2.2,27,60,12,34,8,9,58.0,20.9
37,Bol Bol,PF,PHO,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
38,Bones Hyland,PG,LAC,1,0,7,4.2,1.0,1.5,0.2,0.0,0.5,1.2,5,9,1,5,6,6,18.0,5.2
39,Bradley Beal,SG,PHO,1,1,31,24.0,4.0,2.0,2.0,0.0,2.0,4.0,9,17,2,4,4,6,61.0,26.0
40,Brandin Podziemski,SG,GSW,2,0,16,7.7,3.3,2.3,0.3,0.0,1.3,1.3,9,23,3,10,2,2,32.0,11.0
41,Brandon Ingram,SF,NOP,6,6,36,24.3,5.5,6.3,0.7,0.2,2.7,2.2,57,117,11,34,21,29,56.0,32.1
42,Brandon Miller,SF,CHO,3,3,31,13.3,3.3,2.3,1.0,0.7,1.7,3.0,17,46,4,17,2,3,42.0,15.900000000000002
43,Braxton Key,SF,DEN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
44,Brice Sensabaugh,SF,UTA,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
45,Brook Lopez,C,MIL,6,6,33,17.7,6.0,2.0,1.0,4.2,1.0,3.3,41,75,13,37,11,14,65.0,26.599999999999998
46,Bruce Brown,SG,IND,6,6,34,13.2,4.5,3.0,1.7,0.0,1.3,3.2,27,65,6,20,19,22,53.0,17.9
47,Bruno Fernando,C,ATL,1,0,1,0.5,0.8,0.0,0.0,0.0,0.2,0.2,1,6,0,0,0,0,4.0,0.9000000000000001
48,Bryce McGowens,SG,CHO,4,0,16,6.0,2.0,0.8,0.5,0.0,0.5,2.0,8,17,5,10,3,4,64.0,6.800000000000001
49,Buddy Hield,SF,IND,6,4,30,14.5,4.3,1.3,0.8,0.3,1.7,2.3,31,58,17,34,8,9,70.0,17.200000000000003
50,CJ McCollum,PG,NOP,2,2,30,13.0,3.0,4.5,2.0,1.0,1.5,2.0,11,28,4,9,0,0,46.0,20.0
51,Cade Cunningham,PG,DET,4,4,36,20.2,3.8,8.0,0.8,0.0,4.5,3.0,31,79,6,19,13,13,48.0,25.299999999999997
52,Caleb Houstan,SF,ORL,4,0,5,1.5,1.2,0.2,0.5,0.0,0.0,0.2,2,3,2,3,0,0,100.0,3.2
53,Caleb Martin,SF,MIA,2,0,21,8.0,2.0,1.0,1.0,0.0,0.0,2.5,7,16,2,6,0,0,50.0,9.5
54,Cam Reddish,SF,LAL,6,6,23,8.0,2.2,1.0,1.2,0.2,0.3,1.8,13,31,10,19,12,14,65.0,10.499999999999996
55,Cam Thomas,SG,BRK,1,1,15,8.5,2.5,2.0,0.0,0.5,0.0,0.5,6,18,3,9,2,2,23.0,13.0
56,Cam Whitmore,SF,HOU,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
57,Cameron Johnson,PF,BRK,3,3,27,16.3,6.3,1.7,1.0,0.0,1.3,1.7,17,35,7,17,8,9,63.0,22.3
58,Cameron Payne,PG,MIL,6,0,16,4.0,1.7,2.8,0.2,0.2,0.8,1.7,11,25,2,11,0,0,48.0,6.399999999999998
59,Caris LeVert,SG,CLE,3,0,18,6.6,1.8,1.2,0.6,0.2,1.0,1.0,13,34,3,15,4,6,27.0,8.399999999999999
60,Cason Wallace,SG,OKC,4,1,24,10.0,2.5,1.5,0.8,0.8,0.5,0.8,16,26,7,11,1,2,74.0,14.3
61,Cedi Osman,SF,SAS,4,0,16,5.5,0.8,0.8,0.2,0.0,0.2,1.2,9,21,4,14,0,0,52.0,5.8999999999999995
62,Charles Bassey,C,SAS,4,0,9,2.5,3.5,1.2,0.0,0.8,0.0,0.5,5,9,0,1,0,0,56.0,7.5
63,Charles Bediako,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
64,Charlie Brown Jr.,SG,NYK,1,0,2,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0,1,0,1,0,0,0.0,-2.0
65,Chet Holmgren,C,OKC,4,4,30,15.2,7.5,3.8,1.2,1.0,2.0,2.5,21,51,6,18,13,15,53.0,24.2
66,Chimezie Metu,C,PHO,2,0,4,0.6,0.4,0.4,0.2,0.0,0.0,0.6,1,3,0,1,1,2,15.0,0.9999999999999999
67,Chris Boucher,PF,TOR,4,0,14,6.5,2.0,0.0,0.5,0.2,0.0,1.0,9,20,5,10,3,4,60.0,8.2
68,Chris Duarte,SF,SAC,4,2,13,2.8,2.2,0.0,1.5,0.0,1.2,2.2,4,13,2,8,1,2,40.0,3.0999999999999996
69,Chris Livingston,SF,MIL,1,0,0,0.0,0.4,0.0,0.2,0.0,0.2,0.0,0,1,0,0,0,0,0.0,0.4000000000000001
70,Chris Paul,PG,GSW,4,1,24,6.0,3.0,6.8,1.8,0.2,1.2,1.0,9,28,4,10,2,3,41.0,15.600000000000001
71,Christian Braun,SG,DEN,4,0,22,12.8,4.5,1.0,0.2,0.0,0.2,2.0,22,38,3,5,4,5,64.0,16.3
72,Christian Wood,PF,LAL,5,0,15,6.2,7.2,1.0,0.0,0.5,1.3,1.3,16,33,2,10,3,3,45.0,12.299999999999999
73,Chuma Okeke,SF,ORL,2,0,1,1.5,0.0,0.0,0.0,0.0,0.0,0.0,2,3,2,3,0,0,50.0,1.5
74,Clint Capela,C,ATL,4,4,24,13.2,8.2,1.0,1.2,2.0,1.5,3.2,22,34,0,0,9,12,67.0,20.9
75,Coby White,PG,CHI,4,4,32,13.8,2.0,3.0,0.2,0.2,1.8,1.5,21,44,9,23,4,5,60.0,15.899999999999999
76,Cody Zeller,C,NOP,5,0,4,0.5,1.2,0.2,0.3,0.2,0.2,0.5,0,2,0,0,3,5,30.0,1.6999999999999997
77,Colby Jones,SG,SAC,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
78,Cole Anthony,PG,ORL,4,0,30,13.0,5.5,6.2,0.8,0.2,2.8,2.8,16,49,7,21,13,15,47.0,20.099999999999998
79,Cole Swider,SF,MIA,1,0,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,3,0,2,0,0,0.0,1.0
80,Collin Gillespie,PG,DEN,1,0,1,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0,0,0,0,0,0,0.0,-0.2
81,Collin Sexton,SG,UTA,4,0,22,11.2,3.2,5.2,0.8,0.8,1.5,2.0,17,38,3,12,8,8,54.0,17.7
82,Corey Kispert,SF,WAS,3,0,25,14.3,4.0,0.7,0.3,0.0,1.0,2.0,15,23,10,16,3,3,88.0,16.3
83,Cory Joseph,PG,GSW,2,0,5,2.5,0.8,1.8,0.0,0.0,0.5,0.2,3,8,2,3,2,3,27.0,4.3999999999999995
84,Craig Porter Jr.,PG,CLE,4,0,14,5.6,1.8,2.8,0.4,0.4,0.6,0.6,12,22,0,1,4,4,47.0,9.8
85,D'Angelo Russell,PG,LAL,6,6,26,16.5,2.7,5.7,0.2,0.3,1.5,1.7,35,64,17,33,12,18,69.0,22.2
86,DaQuan Jeffries,SG,NYK,2,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
87,Daishen Nix,PG,MIN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
88,Dalano Banton,PG,BOS,3,0,6,1.0,1.0,0.2,0.0,0.2,0.6,0.4,2,6,1,2,0,0,25.0,1.4000000000000004
89,Dalen Terry,SG,CHI,1,0,2,0.0,1.7,0.3,0.0,0.3,0.0,0.3,0,0,0,0,0,0,0.0,1.9999999999999998
90,Damian Jones,C,CLE,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
91,Damian Lillard,PG,MIL,6,6,36,28.7,4.8,7.0,0.7,0.5,2.3,1.7,51,102,24,47,46,48,70.0,37.7
92,Daniel Gafford,C,WAS,4,4,26,8.0,7.5,1.5,1.0,2.0,1.5,4.5,12,22,0,0,8,11,60.0,14.0
93,Daniel Theis,C,TOT,2,0,10,1.7,2.3,0.7,0.3,1.0,0.3,1.3,2,6,1,3,0,2,25.0,4.4
94,Daniel Theis,C,IND,2,0,10,1.7,2.3,0.7,0.3,1.0,0.3,1.3,2,6,1,3,0,2,25.0,4.4
95,Daniel Theis,C,LAC,2,0,10,1.7,2.3,0.7,0.3,1.0,0.3,1.3,2,6,1,3,0,2,25.0,4.4
96,Danilo Gallinari,PF,WAS,4,0,15,7.2,3.5,2.2,0.0,0.5,0.5,1.5,11,23,3,10,4,6,56.0,11.399999999999999
97,Dante Exum,PG,DAL,4,0,12,7.2,1.0,2.8,0.2,0.0,0.8,1.2,10,17,3,7,6,9,69.0,9.2
98,Danuel House Jr.,SF,PHI,2,0,12,4.7,1.3,0.3,0.0,0.0,1.0,1.3,5,8,1,4,3,3,50.0,4.0
99,Dario Šarić,C,GSW,4,1,24,17.8,4.8,3.5,1.2,0.0,1.5,3.0,22,42,13,29,14,14,74.0,22.8
100,Darius Garland,PG,CLE,5,5,37,20.6,2.4,5.2,1.6,0.2,3.0,1.0,35,75,8,20,25,29,59.0,26.0
101,David Roddy,PF,MEM,5,2,28,11.2,3.2,0.6,1.2,0.8,0.8,1.8,23,53,5,21,5,7,50.0,14.399999999999999
102,Davion Mitchell,PG,SAC,3,0,7,2.4,0.2,0.4,0.2,0.0,0.2,0.8,4,12,2,9,2,2,28.0,2.2
103,Day'Ron Sharpe,C,BRK,4,0,16,6.8,7.0,0.8,0.0,0.2,1.0,2.8,10,18,0,1,7,11,60.0,11.0
104,De'Aaron Fox,PG,SAC,4,4,39,34.5,7.2,7.5,1.2,0.2,2.8,3.0,47,101,11,33,33,49,56.0,44.80000000000001
105,De'Andre Hunter,SF,ATL,4,4,26,12.5,3.5,2.0,0.5,0.0,1.0,2.5,18,40,5,15,9,10,56.0,15.0
106,De'Anthony Melton,SG,PHI,3,3,33,18.0,3.7,3.3,2.0,0.7,1.7,3.3,16,35,9,19,13,16,64.0,22.7
107,DeAndre Jordan,C,DEN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
108,DeMar DeRozan,SF,CHI,4,4,33,21.2,2.5,4.2,0.5,0.2,1.8,1.5,33,70,4,9,15,21,54.0,25.299999999999997
109,Dean Wade,PF,CLE,4,3,21,0.8,2.5,0.5,0.8,0.0,0.2,2.5,1,6,1,6,0,0,27.0,1.8999999999999995
110,Deandre Ayton,C,POR,3,3,34,19.0,10.0,3.0,1.0,0.3,2.7,2.0,27,45,0,0,3,4,61.0,28.599999999999998
111,Dejounte Murray,SG,ATL,4,4,34,21.5,3.0,4.8,2.0,0.2,3.2,1.8,32,70,11,24,11,11,57.0,26.5
112,Delon Wright,PG,WAS,2,0,16,2.0,2.0,4.0,1.0,0.0,1.0,1.5,1,6,0,2,2,3,27.0,6.5
113,Deni Avdija,SF,WAS,4,4,28,11.2,4.8,3.8,0.5,0.5,2.0,2.5,19,34,4,10,3,4,63.0,16.3
114,Dennis Schröder,PG,TOR,4,4,32,19.5,3.2,5.2,0.2,0.0,1.8,2.2,28,63,12,29,10,11,57.0,24.099999999999998
115,Dennis Smith Jr.,PG,BRK,3,0,20,9.0,2.7,4.3,1.0,0.0,0.7,2.3,11,26,1,4,4,4,49.0,14.0
116,Dereck Lively II,C,DAL,4,4,24,5.5,5.5,1.2,0.2,1.0,0.2,3.8,10,17,0,2,2,2,62.0,9.399999999999999
117,Dereon Seabron,SG,NOP,2,0,7,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0,3,0,0,0,0,0.0,1.5
118,Derrick Jones Jr.,SF,DAL,4,3,24,10.0,5.0,1.8,1.5,0.2,0.2,1.5,14,26,5,13,7,7,69.0,16.8
119,Derrick Rose,PG,MEM,1,0,21,17.0,2.0,1.0,1.0,0.0,1.0,0.0,8,9,1,1,0,0,94.0,20.0
120,Derrick White,SG,BOS,5,5,32,14.4,4.0,5.8,0.8,0.6,1.8,2.4,23,52,10,30,16,20,59.0,21.400000000000002
121,Desmond Bane,SG,MEM,5,5,37,19.4,3.8,6.2,1.2,1.2,2.4,2.8,37,83,12,34,11,13,55.0,26.599999999999998
122,Devin Booker,SG,PHO,4,4,34,28.2,5.8,7.8,1.5,0.8,3.5,3.0,37,72,6,11,33,37,64.0,37.599999999999994
123,Devin Vassell,SG,SAS,3,2,28,21.7,3.3,3.0,1.3,0.3,1.3,1.3,23,47,11,23,8,11,63.0,27.0
124,Devonte' Graham,PG,SAS,1,0,4,1.0,0.2,1.8,0.0,0.0,0.5,0.5,1,3,0,2,2,3,12.0,2.0
125,Dillon Brooks,SF,HOU,4,4,26,9.5,2.0,1.5,0.8,0.2,0.8,5.2,14,34,4,10,6,10,49.0,7.999999999999999
126,Domantas Sabonis,C,SAC,5,5,37,18.8,11.8,9.0,1.2,1.4,2.6,4.2,33,62,3,6,25,31,62.0,35.4
127,Dominick Barlow,PF,SAS,1,0,2,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.5
128,Donovan Mitchell,SG,CLE,2,2,36,39.0,8.0,7.0,2.0,0.5,4.5,2.0,27,46,7,18,17,19,72.0,50.0
129,Donte DiVincenzo,SG,NYK,5,1,19,7.0,3.0,0.8,0.4,0.0,1.4,0.8,11,34,9,24,4,5,48.0,9.0
130,Dorian Finney-Smith,PF,BRK,4,4,27,10.0,4.8,1.0,0.5,0.8,0.0,2.5,15,35,10,22,0,0,57.0,14.600000000000001
131,Doug McDermott,SF,SAS,4,0,17,5.2,0.5,2.2,0.8,0.0,1.0,0.8,8,18,4,10,1,2,55.0,6.900000000000001
132,Draymond Green,PF,GSW,3,3,16,5.8,3.2,1.5,0.0,0.8,2.0,2.5,8,19,4,8,3,3,43.0,6.800000000000001
133,Drew Eubanks,C,PHO,4,0,16,6.5,3.2,0.5,0.2,0.2,1.8,2.5,10,15,1,1,5,5,76.0,6.299999999999997
134,Dru Smith,SG,MIA,1,0,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0.0,-1.0
135,Duncan Robinson,SF,MIA,3,2,32,16.3,4.0,4.7,0.7,0.7,1.7,1.7,18,35,11,25,2,4,67.0,23.0
136,Duop Reath,C,POR,3,0,10,3.3,1.3,0.3,0.7,0.0,0.7,1.0,4,15,2,10,0,0,33.0,3.8999999999999995
137,Dwight Powell,C,DAL,4,0,12,4.8,3.2,1.5,0.2,0.2,0.5,1.5,6,12,0,0,7,7,64.0,7.899999999999999
138,Dylan Windler,SF,NYK,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
139,Dyson Daniels,PG,NOP,6,4,26,6.8,6.2,3.3,1.7,0.3,0.7,1.8,14,35,3,13,10,11,51.0,15.8
140,Dāvis Bertāns,PF,OKC,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
141,Emoni Bates,SF,CLE,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
142,Eric Gordon,SG,PHO,5,4,33,12.8,2.2,2.6,1.4,0.6,1.4,1.0,23,49,14,30,4,4,63.0,17.200000000000003
143,Eugene Omoruyi,SF,WAS,2,0,3,3.0,0.0,0.7,0.3,0.0,0.3,0.3,4,4,1,1,0,0,75.0,3.4000000000000004
144,Evan Fournier,SG,NYK,1,0,4,0.5,0.2,0.2,0.2,0.0,0.0,0.5,1,6,0,4,0,0,4.0,0.5999999999999999
145,Evan Mobley,PF,CLE,5,5,36,14.2,11.0,3.4,1.0,2.4,2.2,3.2,30,51,1,5,10,12,63.0,26.599999999999998
146,Filip Petrušev,C,TOT,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
147,Filip Petrušev,C,PHI,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
148,Filip Petrušev,C,SAC,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
149,Franz Wagner,SF,ORL,4,4,34,19.0,6.0,3.8,1.2,0.2,1.2,2.0,33,69,7,26,3,6,53.0,27.0
150,Fred VanVleet,PG,HOU,4,4,40,16.5,5.2,10.2,1.0,1.2,1.0,2.0,23,50,13,30,7,7,62.0,31.1
151,Furkan Korkmaz,SG,PHI,2,0,1,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0,1,0,0,0,0,0.0,-0.3
152,Garrett Temple,SG,TOR,1,0,1,0.5,0.0,0.5,0.0,0.0,0.0,0.0,1,1,0,0,0,0,25.0,1.0
153,Garrison Mathews,SG,ATL,2,0,1,0.8,0.5,0.0,0.0,0.0,0.0,0.0,1,2,1,2,0,0,40.0,1.3
154,Gary Harris,SG,ORL,3,1,23,9.7,3.3,1.0,0.7,0.7,0.7,2.3,10,20,6,15,3,3,68.0,12.399999999999999
155,Gary Payton II,SG,GSW,4,0,18,6.8,3.5,1.0,1.2,0.5,1.0,2.5,12,18,2,8,1,1,74.0,9.5
156,Gary Trent Jr.,SG,TOR,4,1,24,12.0,1.2,1.2,0.8,0.0,0.0,1.2,18,40,9,20,3,4,57.0,14.0
157,Georges Niang,PF,CLE,5,0,24,9.0,6.2,1.0,0.6,0.2,0.6,1.6,16,31,7,17,6,6,67.0,14.799999999999999
158,Giannis Antetokounmpo,PF,MIL,6,6,35,29.0,8.8,5.8,1.7,0.8,3.8,3.2,62,96,5,7,45,67,69.0,39.099999999999994
159,Goga Bitadze,C,ORL,4,4,23,6.8,4.8,2.5,1.5,2.0,0.5,3.5,11,19,0,1,5,10,58.0,13.600000000000001
160,Gordon Hayward,SF,CHO,3,3,30,11.0,5.0,5.0,1.3,0.3,0.7,1.0,13,36,1,9,6,8,42.0,20.900000000000002
161,Gradey Dick,SG,TOR,3,0,10,1.7,1.3,1.0,0.0,0.0,1.0,0.3,1,9,1,7,2,2,26.0,2.7
162,Grant Williams,PF,DAL,4,4,22,6.2,3.0,1.5,0.2,0.8,1.5,3.0,8,23,6,15,3,4,50.0,7.199999999999999
163,Grayson Allen,SG,PHO,5,5,34,12.4,4.0,3.0,1.0,0.4,0.8,2.4,22,44,9,21,9,10,64.0,17.599999999999998
