,Player,Pos,Tm,GP,GS,MPG,PPG,RPG,APG,SPG,BPG,TPG,FPG,FG,FGA,3P,3PA,FT,FTA,TS%,PRF
242,John Collins,PF,UTA,4,4,32,15.5,7.8,1.0,0.5,2.5,1.2,3.5,22,44,8,15,10,15,61.0,22.6
243,John Konchar,SF,MEM,5,0,15,3.0,2.0,1.8,0.6,0.2,0.0,0.4,5,14,4,8,1,2,50.0,7.199999999999999
244,Johnny Davis,SG,WAS,3,0,7,4.2,1.5,0.0,0.2,0.0,0.2,0.2,7,9,1,1,2,2,64.0,5.5
245,Jonas Valančiūnas,C,NOP,6,6,27,13.7,7.0,2.5,0.5,1.7,0.8,3.8,34,61,5,12,9,12,62.0,20.799999999999997
246,Jonathan Isaac,PF,ORL,4,0,14,8.8,5.5,0.5,1.0,1.0,1.2,1.5,12,20,3,11,8,10,72.0,14.100000000000001
247,Jonathan Kuminga,PF,GSW,4,0,16,9.0,1.5,1.0,0.0,0.0,1.8,1.8,16,28,1,6,3,6,59.0,7.8999999999999995
248,Jordan Clarkson,SG,UTA,4,4,32,25.0,2.0,3.5,1.5,0.2,1.5,1.0,39,70,11,27,11,11,67.0,29.700000000000003
249,Jordan Ford,PG,SAC,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
250,Jordan Goodwin,PG,PHO,5,0,12,5.8,3.0,1.4,0.4,0.0,0.4,0.6,12,26,4,13,1,1,55.0,9.600000000000001
251,Jordan Hawkins,SG,NOP,5,1,22,9.7,4.0,1.5,0.3,0.0,0.5,1.8,20,48,11,30,7,8,47.0,13.2
252,Jordan Nwora,SF,IND,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
253,Jordan Poole,SG,WAS,4,4,30,16.8,2.2,5.8,1.0,0.0,3.0,3.5,25,59,5,21,12,15,51.0,19.3
254,Jose Alvarado,PG,NOP,3,0,13,5.2,2.5,1.8,1.2,0.5,0.8,0.5,7,17,4,8,3,4,42.0,9.899999999999999
255,Josh Giddey,SG,OKC,4,4,27,14.8,5.5,4.2,0.0,0.5,3.8,1.0,25,44,0,7,9,12,60.0,20.2
256,Josh Green,SG,DAL,4,1,25,5.8,4.2,2.8,0.5,0.2,0.8,2.2,9,19,5,12,0,0,61.0,10.5
257,Josh Hart,SF,NYK,5,2,29,10.6,6.6,2.8,1.6,0.8,0.6,2.2,22,41,5,13,4,4,62.0,19.6
258,Josh Minott,SF,MIN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
259,Josh Okogie,SG,PHO,5,0,14,2.0,3.6,1.0,0.6,0.0,0.4,0.6,2,15,1,9,5,7,28.0,6.199999999999999
260,Josh Richardson,SG,MIA,4,2,32,12.8,3.2,5.0,0.8,0.2,1.2,2.2,18,39,6,19,9,10,59.0,18.6
261,Jrue Holiday,PG,BOS,4,4,34,12.5,8.2,6.5,1.0,0.2,1.2,2.0,19,45,8,19,4,4,53.0,25.2
262,Julian Champagnie,SF,SAS,2,2,14,5.5,1.2,1.5,1.0,1.0,1.0,0.8,6,19,5,11,5,6,25.0,8.399999999999999
263,Julian Phillips,SF,CHI,2,0,3,0.8,0.5,0.2,0.0,0.0,0.2,0.2,1,4,0,2,1,4,14.0,1.1
264,Julian Strawther,SF,DEN,2,0,3,0.5,0.0,0.2,0.2,0.0,0.0,0.8,1,4,0,3,0,0,12.0,0.09999999999999987
265,Julius Randle,PF,NYK,5,5,36,23.4,10.6,6.0,1.0,0.4,4.2,2.4,41,84,7,27,28,37,58.0,34.8
266,Justin Holiday,SG,DEN,2,0,3,0.8,0.0,0.2,0.2,0.0,0.0,0.5,1,2,1,2,0,0,40.0,0.7
267,Justin Minaya,SF,POR,2,0,3,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.5
268,Jusuf Nurkić,C,PHO,5,5,29,11.2,9.4,4.2,1.2,1.2,2.6,3.4,18,34,4,10,16,24,63.0,21.2
269,KJ Martin,SF,TOT,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
270,KJ Martin,SF,LAC,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
271,KJ Martin,SF,PHI,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
272,Karl-Anthony Towns,PF,MIN,4,4,36,25.5,11.0,2.8,0.5,0.0,4.5,2.2,34,70,13,27,21,21,64.0,33.099999999999994
273,Kawhi Leonard,SF,LAC,4,4,34,21.8,5.2,2.8,2.8,0.5,2.2,1.5,29,62,8,20,21,24,60.0,29.400000000000002
274,Keegan Murray,SF,SAC,3,3,36,14.7,7.0,1.7,1.3,0.3,2.0,2.7,16,38,7,22,5,5,55.0,20.3
275,Keita Bates-Diop,SF,PHO,5,2,17,5.4,2.8,0.4,1.0,1.2,0.0,0.8,9,24,1,8,8,9,48.0,9.999999999999998
276,Keldon Johnson,SF,SAS,3,3,34,16.3,8.7,4.0,1.0,0.3,2.3,2.0,17,39,8,19,7,11,56.0,26.0
277,Kelly Olynyk,C,UTA,4,0,22,7.2,7.2,4.2,0.5,0.2,2.0,2.2,10,21,3,9,6,8,59.0,15.100000000000001
278,Kelly Oubre Jr.,SF,PHI,1,1,26,8.0,8.0,1.0,2.0,0.0,0.0,3.0,3,9,0,3,2,3,39.0,16.0
279,Kenneth Lofton Jr.,PF,MEM,3,0,3,0.4,0.4,0.0,0.0,0.2,0.2,0.8,1,5,0,2,0,0,12.0,0.0
280,Kenrich Williams,PF,OKC,2,0,14,5.5,1.0,1.0,0.0,0.0,0.5,3.5,5,10,1,5,0,0,55.0,3.5
